label,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93
0,0.35,0.55,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.26,0.24,0.19,0.03,0.01,0.06,0.27,0.55,0.10,0.03,0.01,0.00,0.00,0.00,0.00,-1.98,9.57,0.58,35.56,52.00,37.40,1.45,2.80,1.39,0.13,0.24,0.14,0.36,0.49,0.38,0.35,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.44,0.62,0.62,0.61,0.61,0.61,0.61,0.60,0.60,0.59,0.58,0.58,0.57,0.34,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.45,-0.76,-0.11,0.27,-0.25,0.15,0.04,10.10,1600
0,0.32,0.55,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.21,0.25,0.21,0.22,0.03,0.01,0.07,0.32,0.48,0.12,0.02,0.00,0.00,0.00,0.00,0.00,-2.03,9.55,0.43,36.86,46.19,37.25,1.53,2.84,1.48,0.14,0.24,0.14,0.37,0.49,0.38,0.35,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.43,0.60,0.60,0.60,0.60,0.60,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.34,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.45,-0.76,0.00,0.20,-0.33,0.23,0.02,10.11,1600
0,0.38,0.49,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.16,0.29,0.22,0.16,0.05,0.01,0.08,0.36,0.42,0.12,0.02,0.01,0.00,0.00,0.00,0.00,-2.13,9.51,0.44,35.00,45.95,36.79,1.58,2.92,1.58,0.14,0.25,0.15,0.37,0.50,0.38,0.36,0.51,0.51,0.50,0.50,0.50,0.50,0.49,0.49,0.48,0.48,0.47,0.47,0.44,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.36,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.48,0.48,0.47,0.46,-0.76,-0.03,0.21,-0.32,0.18,0.05,10.11,1600
0,0.37,0.51,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.26,0.25,0.14,0.05,0.02,0.10,0.33,0.43,0.13,0.02,0.00,0.00,0.00,0.00,0.00,-2.05,9.66,0.39,37.65,43.41,39.79,1.47,2.80,1.62,0.13,0.24,0.15,0.36,0.49,0.39,0.34,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.62,0.62,0.62,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.57,0.35,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,-0.78,-0.01,0.19,-0.34,0.20,0.07,10.21,1600
0,0.35,0.60,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.27,0.23,0.16,0.04,0.02,0.08,0.32,0.51,0.07,0.04,0.00,0.00,0.00,0.00,0.00,-2.15,9.56,0.39,36.92,43.57,35.93,1.48,2.86,1.49,0.13,0.25,0.15,0.36,0.50,0.38,0.35,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.35,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,-0.77,0.01,0.18,-0.27,0.24,0.02,10.13,1600
0,0.37,0.51,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.19,0.25,0.23,0.19,0.04,0.00,0.09,0.34,0.46,0.10,0.02,0.00,0.00,0.00,0.00,0.00,-2.19,9.53,0.32,35.19,56.18,39.00,1.71,2.80,1.47,0.15,0.24,0.14,0.39,0.49,0.38,0.38,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.50,0.49,0.44,0.62,0.62,0.62,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.57,0.35,0.50,0.50,0.50,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,-0.74,0.03,0.15,-0.32,0.21,0.01,10.14,1600
0,0.43,0.46,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.19,0.25,0.24,0.17,0.04,0.02,0.08,0.38,0.47,0.06,0.02,0.00,0.00,0.00,0.00,0.00,-2.36,9.53,0.33,38.04,49.74,39.58,1.62,2.94,1.47,0.14,0.25,0.14,0.37,0.50,0.37,0.36,0.51,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.48,0.48,0.47,0.47,0.45,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.58,0.34,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.45,-0.79,-0.03,0.16,-0.33,0.16,0.02,10.16,1600
1,0.37,0.53,0.10,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.10,0.14,0.29,0.20,0.16,0.07,0.02,0.12,0.27,0.55,0.06,0.02,0.00,0.00,0.00,0.00,0.00,-2.17,9.44,0.21,36.30,41.52,35.93,1.67,3.20,1.48,0.16,0.29,0.14,0.40,0.54,0.38,0.39,0.56,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.47,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.64,0.63,0.63,0.62,0.61,0.36,0.51,0.51,0.50,0.50,0.50,0.50,0.49,0.49,0.48,0.48,0.47,0.47,-0.69,0.11,0.12,-0.22,0.25,0.07,10.24,1600
1,0.30,0.43,0.17,0.09,0.02,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.09,0.08,0.08,0.07,0.06,0.15,0.15,0.13,0.28,0.39,0.23,0.08,0.01,0.02,0.01,0.01,0.00,0.00,-1.67,8.20,-1.02,31.67,49.74,31.45,2.49,6.96,2.50,0.26,0.55,0.25,0.51,0.74,0.50,0.45,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.59,0.52,0.74,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.70,0.69,0.68,0.46,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.62,0.61,0.61,0.60,-0.38,-0.04,-0.08,-0.13,-0.17,0.18,10.92,1600
1,0.26,0.46,0.18,0.08,0.02,0.01,0.00,0.00,0.00,0.00,0.09,0.11,0.12,0.05,0.08,0.05,0.13,0.13,0.18,0.10,0.31,0.34,0.25,0.08,0.02,0.01,0.01,0.00,0.00,0.00,-1.30,8.44,-1.02,32.33,50.79,33.45,2.16,6.76,2.55,0.23,0.54,0.24,0.48,0.73,0.49,0.43,0.60,0.60,0.60,0.60,0.60,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.51,0.72,0.72,0.71,0.71,0.71,0.70,0.70,0.69,0.69,0.68,0.67,0.66,0.44,0.62,0.62,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.57,-0.29,-0.04,-0.09,-0.03,-0.17,0.19,10.86,1600
1,0.29,0.39,0.24,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.12,0.09,0.05,0.06,0.09,0.13,0.20,0.11,0.35,0.28,0.27,0.09,0.02,0.00,0.01,0.00,0.00,0.00,-1.19,8.75,-1.09,31.48,55.43,36.23,2.26,6.82,2.63,0.22,0.54,0.24,0.47,0.73,0.49,0.42,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.51,0.72,0.72,0.72,0.72,0.71,0.71,0.70,0.70,0.69,0.68,0.68,0.67,0.44,0.62,0.61,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.58,0.57,-0.25,0.03,-0.07,0.03,-0.09,0.26,11.04,1600
1,0.23,0.45,0.21,0.10,0.03,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.10,0.07,0.07,0.10,0.11,0.12,0.17,0.11,0.31,0.34,0.25,0.08,0.01,0.01,0.01,0.00,0.00,0.00,-0.86,8.83,-1.05,31.29,54.55,36.54,2.07,6.30,2.49,0.19,0.51,0.23,0.44,0.71,0.48,0.40,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.53,0.52,0.50,0.71,0.71,0.71,0.71,0.70,0.70,0.69,0.69,0.68,0.68,0.67,0.66,0.43,0.61,0.61,0.60,0.60,0.60,0.59,0.59,0.59,0.58,0.57,0.57,0.56,-0.12,0.01,-0.10,0.18,-0.09,0.23,10.84,1600
1,0.32,0.36,0.23,0.07,0.03,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.13,0.07,0.05,0.06,0.08,0.15,0.21,0.08,0.33,0.30,0.23,0.12,0.02,0.01,0.00,0.00,0.00,0.00,-1.45,8.51,-1.25,31.64,48.16,32.30,2.56,6.91,2.75,0.26,0.54,0.25,0.51,0.73,0.50,0.45,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.58,0.50,0.71,0.71,0.71,0.71,0.70,0.70,0.69,0.69,0.68,0.67,0.67,0.66,0.44,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.60,0.59,0.59,0.58,-0.30,0.05,-0.15,-0.04,-0.08,0.16,10.98,1600
1,0.23,0.47,0.18,0.10,0.03,0.01,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.07,0.06,0.08,0.07,0.13,0.14,0.15,0.37,0.32,0.20,0.10,0.01,0.01,0.00,0.00,0.00,0.00,-0.91,8.55,-1.71,31.80,54.00,37.45,2.15,6.89,2.75,0.21,0.55,0.26,0.46,0.74,0.51,0.43,0.60,0.60,0.60,0.60,0.59,0.59,0.59,0.58,0.58,0.57,0.56,0.56,0.51,0.72,0.72,0.72,0.72,0.71,0.71,0.70,0.70,0.69,0.68,0.68,0.67,0.44,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.60,0.60,0.59,0.58,0.58,-0.11,0.06,-0.24,0.16,-0.08,0.11,10.95,1600
1,0.24,0.42,0.21,0.10,0.04,0.01,0.00,0.00,0.00,0.00,0.08,0.12,0.13,0.05,0.08,0.07,0.09,0.12,0.17,0.11,0.36,0.29,0.21,0.10,0.05,0.01,0.00,0.00,0.00,0.00,-0.95,8.29,-1.20,32.67,59.06,32.20,2.39,6.77,2.89,0.23,0.54,0.27,0.48,0.73,0.52,0.42,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.50,0.70,0.70,0.70,0.70,0.69,0.69,0.68,0.68,0.67,0.66,0.66,0.65,0.44,0.62,0.62,0.62,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.57,-0.12,-0.04,-0.06,0.13,-0.14,0.26,10.81,1600
1,0.24,0.41,0.20,0.11,0.05,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.11,0.05,0.06,0.08,0.11,0.13,0.17,0.12,0.37,0.30,0.21,0.10,0.02,0.01,0.00,0.00,0.00,0.00,-0.78,8.73,-1.58,32.93,55.43,33.86,2.38,6.89,2.80,0.22,0.55,0.26,0.47,0.74,0.51,0.43,0.61,0.60,0.60,0.60,0.60,0.59,0.59,0.59,0.58,0.57,0.57,0.56,0.51,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.70,0.70,0.69,0.68,0.67,0.45,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.60,0.60,0.59,-0.04,0.02,-0.25,0.21,-0.08,0.07,11.20,1600
1,0.26,0.43,0.20,0.09,0.03,0.01,0.00,0.00,0.00,0.00,0.08,0.10,0.13,0.09,0.04,0.11,0.09,0.14,0.14,0.11,0.35,0.31,0.21,0.09,0.03,0.03,0.00,0.00,0.00,0.00,-0.98,8.23,-1.28,31.13,52.43,30.16,2.23,6.61,3.00,0.23,0.53,0.28,0.48,0.73,0.53,0.43,0.60,0.60,0.60,0.60,0.59,0.59,0.59,0.58,0.58,0.57,0.56,0.56,0.50,0.71,0.71,0.71,0.70,0.70,0.70,0.69,0.69,0.68,0.67,0.67,0.66,0.46,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.62,0.62,0.61,0.60,-0.12,-0.05,-0.09,0.14,-0.16,0.22,10.78,1600
1,0.27,0.40,0.24,0.08,0.02,0.01,0.00,0.00,0.00,0.00,0.07,0.11,0.13,0.07,0.08,0.08,0.09,0.15,0.15,0.10,0.41,0.28,0.17,0.09,0.06,0.00,0.01,0.00,0.00,0.00,-1.02,8.37,-1.61,32.03,53.43,36.42,2.25,6.59,3.00,0.23,0.53,0.27,0.48,0.73,0.52,0.43,0.61,0.61,0.61,0.60,0.60,0.60,0.59,0.59,0.58,0.58,0.57,0.56,0.50,0.71,0.71,0.71,0.70,0.70,0.70,0.69,0.69,0.68,0.67,0.66,0.66,0.44,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.60,0.59,0.59,0.58,-0.15,0.20,-0.19,0.12,0.09,0.16,10.95,1600
1,0.31,0.37,0.18,0.11,0.03,0.01,0.00,0.00,0.00,0.00,0.09,0.07,0.18,0.07,0.05,0.09,0.08,0.14,0.15,0.11,0.38,0.26,0.20,0.10,0.05,0.01,0.01,0.01,0.00,0.00,-1.09,8.09,-1.07,32.88,53.89,33.28,2.58,6.77,3.14,0.25,0.54,0.29,0.50,0.73,0.54,0.44,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.51,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.70,0.70,0.69,0.68,0.67,0.46,0.66,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.61,-0.14,-0.01,-0.01,0.11,-0.09,0.26,10.87,1600
1,0.34,0.31,0.17,0.13,0.04,0.01,0.00,0.01,0.00,0.00,0.12,0.08,0.12,0.04,0.08,0.06,0.10,0.17,0.12,0.13,0.32,0.27,0.24,0.11,0.06,0.01,0.01,0.01,0.01,0.00,-1.23,8.35,-0.91,31.13,55.14,34.29,3.09,6.86,3.33,0.32,0.55,0.31,0.56,0.74,0.56,0.47,0.67,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.63,0.63,0.62,0.51,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.70,0.69,0.69,0.68,0.67,0.47,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.62,0.62,-0.16,-0.15,-0.04,0.05,-0.22,0.17,11.43,1600
1,0.24,0.37,0.23,0.13,0.04,0.01,0.01,0.00,0.00,0.00,0.09,0.09,0.11,0.08,0.06,0.07,0.07,0.16,0.16,0.13,0.39,0.26,0.25,0.08,0.02,0.01,0.00,0.00,0.01,0.00,-0.70,8.74,-1.74,32.13,49.21,37.45,2.53,6.91,3.03,0.25,0.55,0.29,0.50,0.74,0.53,0.44,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.60,0.60,0.59,0.58,0.58,0.51,0.72,0.72,0.72,0.72,0.71,0.71,0.70,0.70,0.69,0.69,0.68,0.67,0.46,0.66,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.61,0.61,-0.06,0.05,-0.26,0.13,-0.03,0.07,11.36,1600
1,0.30,0.39,0.17,0.12,0.03,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.13,0.08,0.05,0.08,0.12,0.12,0.16,0.08,0.37,0.30,0.19,0.13,0.02,0.00,0.00,0.00,0.00,0.00,-1.08,8.01,-1.59,34.04,49.25,35.09,2.31,6.60,2.94,0.22,0.52,0.28,0.47,0.72,0.53,0.43,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.59,0.59,0.58,0.58,0.57,0.51,0.72,0.72,0.72,0.72,0.71,0.71,0.70,0.70,0.69,0.68,0.68,0.67,0.46,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.61,0.60,-0.20,0.23,-0.20,0.06,0.12,0.12,10.56,1600
1,0.25,0.41,0.17,0.14,0.03,0.01,0.00,0.00,0.00,0.00,0.09,0.11,0.13,0.08,0.04,0.09,0.08,0.15,0.13,0.12,0.40,0.27,0.17,0.12,0.03,0.01,0.01,0.00,0.01,0.01,-1.13,8.06,-1.51,33.22,58.48,35.66,2.76,6.89,3.43,0.30,0.55,0.33,0.54,0.74,0.58,0.47,0.67,0.67,0.67,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.62,0.52,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.70,0.70,0.69,0.68,0.50,0.70,0.70,0.70,0.70,0.69,0.69,0.68,0.68,0.67,0.66,0.66,0.65,-0.16,-0.04,-0.13,0.05,-0.13,0.14,11.22,1600
1,0.27,0.35,0.23,0.12,0.04,0.01,0.00,0.00,0.00,0.00,0.11,0.08,0.12,0.07,0.06,0.08,0.10,0.15,0.12,0.13,0.38,0.24,0.20,0.12,0.05,0.03,0.00,0.00,0.00,0.00,-0.99,8.28,-1.17,33.45,46.43,34.82,2.68,6.86,3.30,0.26,0.55,0.31,0.51,0.74,0.56,0.45,0.64,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.60,0.60,0.59,0.52,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.70,0.69,0.68,0.68,0.48,0.67,0.67,0.67,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.62,-0.11,-0.04,-0.04,0.12,-0.12,0.23,11.21,1600
1,0.29,0.32,0.24,0.11,0.04,0.00,0.01,0.00,0.00,0.00,0.08,0.11,0.13,0.07,0.06,0.05,0.14,0.15,0.15,0.09,0.33,0.29,0.16,0.14,0.05,0.02,0.01,0.00,0.00,0.01,-1.06,8.33,-0.68,33.79,55.15,37.45,2.88,6.71,3.32,0.28,0.53,0.31,0.53,0.73,0.55,0.46,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.62,0.61,0.61,0.60,0.51,0.72,0.72,0.72,0.71,0.71,0.71,0.70,0.70,0.69,0.68,0.67,0.66,0.47,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.62,0.62,-0.14,-0.12,0.08,0.08,-0.16,0.29,11.18,1600
